"","ID","Area","Year","Cleaned_Median_Rent","Score","Lagged_Rent","Lagged_Score","Lagged_Med_Neighb_Rent","Lagged_Mean_Neighb_Rent","Lagged_Sum_Neighb_Rent","Lagged_Med_Neighb_Score","Lagged_Mean_Neighb_Score","Lagged_Sum_Neighb_Score"
"1","360610030021","Block Group 1, Census Tract 30.02, New York County, New York",2014,1765,0.686055179673291,1766,0.605227787948101,1850.5,1607.75,6431,0.590058023882573,0.556813128055502,2.22725251222201
"2","360610030022","Block Group 2, Census Tract 30.02, New York County, New York",2014,736,0.151607159033109,730,0.168427201009388,1589,1379,6895,0.531916534417378,0.514306936131358,2.57153468065679
"3","360610031001","Block Group 1, Census Tract 31, New York County, New York",2014,2000,0.74879439124886,2000,0.798355554483097,1812.5,1554.16666666667,9325,0.503135161757013,0.543655254070144,3.26193152442086
"4","360610032001","Block Group 1, Census Tract 32, New York County, New York",2014,1982,0.659060795979035,1714,0.610878427524596,1772.5,1749,6996,0.705880584244639,0.704234584764728,2.81693833905891
"5","360610032002","Block Group 2, Census Tract 32, New York County, New York",2014,2000,0.753683375158633,2000,0.834515248139224,1702,1543.25,6173,0.665104527367285,0.651563337799169,2.60625335119667
"6","360610032003","Block Group 3, Census Tract 32, New York County, New York",2014,984,0.494013079560226,921,0.463967903473748,1737,1556,6224,0.635196367559153,0.659206129418727,2.63682451767491
"7","360610032004","Block Group 4, Census Tract 32, New York County, New York",2014,884,0.551488335651546,750,0.531916534417378,1405,1385,5540,0.521535136616616,0.522551684422523,2.09020673769009
"8","360610032005","Block Group 5, Census Tract 32, New York County, New York",2014,1734,0.868213628565046,2000,0.878709263447473,1360.5,1328.75,5315,0.568572161182739,0.511783094992307,2.04713237996923
"9","360610032006","Block Group 6, Census Tract 32, New York County, New York",2014,1949,0.668044469081788,1844,0.62389290626431,1322.5,1391.5,5566,0.638022148231052,0.610212177812254,2.44084871124902
"10","360610032007","Block Group 7, Census Tract 32, New York County, New York",2014,1716,0.757575871265636,1690,0.812076392988356,1714,1644,11508,0.570661922430412,0.557858105762702,3.90500674033891
"11","360610033001","Block Group 1, Census Tract 33, New York County, New York",2014,2000,0.772204893367589,2000,0.800943492740494,2000,1954.5,7818,0.75745704310699,0.748956523024558,2.99582609209823
"12","360610033002","Block Group 2, Census Tract 33, New York County, New York",2014,1306,0.678943944665392,1818,0.716558531730884,2000,1913.25,7653,0.809177400658595,0.77481670180036,3.09926680720144
"13","360610033003","Block Group 3, Census Tract 33, New York County, New York",2014,1829,0.82122845754477,1653,0.817411308576695,1909,1747,10482,0.654496905504734,0.676968748329076,4.06181248997445
"14","360610034001","Block Group 1, Census Tract 34, New York County, New York",2014,1629,0.602355769087723,1535,0.580292467581575,1515,1260,6300,0.457120914414589,0.449134018540893,2.24567009270447
"15","360610034002","Block Group 2, Census Tract 34, New York County, New York",2014,1858,0.530573626132236,1515,0.457120914414589,1535,1426.4,7132,0.570661922430412,0.480496226259293,2.40248113129646
"16","360610034003","Block Group 3, Census Tract 34, New York County, New York",2014,1831,0.476000011777861,1855,0.570661922430412,1659,1639.33333333333,9836,0.57200918571543,0.604374418886153,3.62624651331692
"17","360610034004","Block Group 4, Census Tract 34, New York County, New York",2014,1703,0.523492990093042,1628,0.533139943906265,1650.5,1580.25,6321,0.575477195005993,0.599656592963793,2.39862637185517
"18","360610036011","Block Group 1, Census Tract 36.01, New York County, New York",2014,1336,0.34083872296185,867,0.301777095308129,1030,1234.4,6172,0.376507466900372,0.434245684973562,2.17122842486781
"19","360610036012","Block Group 2, Census Tract 36.01, New York County, New York",2014,740,0.167021361899647,578,0.144190491126871,1014,1015.5,4062,0.294046594075204,0.311019677830449,1.24407871132179
"20","360610036013","Block Group 3, Census Tract 36.01, New York County, New York",2014,1009,0.31018750775394,1167,0.286316092842279,998,1135.8,5679,0.376507466900372,0.363492713700195,1.81746356850098
"21","360610036021","Block Group 1, Census Tract 36.02, New York County, New York",2014,1604,0.527897061620349,1589,0.441918666071693,998,1205.66666666667,3617,0.376507466900372,0.374679012556415,1.12403703766924
"22","360610036022","Block Group 2, Census Tract 36.02, New York County, New York",2014,1595,0.381047560316815,998,0.376507466900372,1017,1188.625,9509,0.294046594075204,0.327673322096616,2.62138657677293
"23","360610037000","Block Group 0, Census Tract 37, New York County, New York",2014,0,0,0,0,864.5,932.25,3729,0.235809488103926,0.311379976824264,1.24551990729705
