"GEO_ID","NAME","B25063_001E","B25063_001M","B25063_002E","B25063_002M","B25063_003E","B25063_003M","B25063_004E","B25063_004M","B25063_005E","B25063_005M","B25063_006E","B25063_006M","B25063_007E","B25063_007M","B25063_008E","B25063_008M","B25063_009E","B25063_009M","B25063_010E","B25063_010M","B25063_011E","B25063_011M","B25063_012E","B25063_012M","B25063_013E","B25063_013M","B25063_014E","B25063_014M","B25063_015E","B25063_015M","B25063_016E","B25063_016M","B25063_017E","B25063_017M","B25063_018E","B25063_018M","B25063_019E","B25063_019M","B25063_020E","B25063_020M","B25063_021E","B25063_021M","B25063_022E","B25063_022M","B25063_023E","B25063_023M","B25063_024E","B25063_024M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!With cash rent","Margin of Error!!Total!!With cash rent","Estimate!!Total!!With cash rent!!Less than $100","Margin of Error!!Total!!With cash rent!!Less than $100","Estimate!!Total!!With cash rent!!$100 to $149","Margin of Error!!Total!!With cash rent!!$100 to $149","Estimate!!Total!!With cash rent!!$150 to $199","Margin of Error!!Total!!With cash rent!!$150 to $199","Estimate!!Total!!With cash rent!!$200 to $249","Margin of Error!!Total!!With cash rent!!$200 to $249","Estimate!!Total!!With cash rent!!$250 to $299","Margin of Error!!Total!!With cash rent!!$250 to $299","Estimate!!Total!!With cash rent!!$300 to $349","Margin of Error!!Total!!With cash rent!!$300 to $349","Estimate!!Total!!With cash rent!!$350 to $399","Margin of Error!!Total!!With cash rent!!$350 to $399","Estimate!!Total!!With cash rent!!$400 to $449","Margin of Error!!Total!!With cash rent!!$400 to $449","Estimate!!Total!!With cash rent!!$450 to $499","Margin of Error!!Total!!With cash rent!!$450 to $499","Estimate!!Total!!With cash rent!!$500 to $549","Margin of Error!!Total!!With cash rent!!$500 to $549","Estimate!!Total!!With cash rent!!$550 to $599","Margin of Error!!Total!!With cash rent!!$550 to $599","Estimate!!Total!!With cash rent!!$600 to $649","Margin of Error!!Total!!With cash rent!!$600 to $649","Estimate!!Total!!With cash rent!!$650 to $699","Margin of Error!!Total!!With cash rent!!$650 to $699","Estimate!!Total!!With cash rent!!$700 to $749","Margin of Error!!Total!!With cash rent!!$700 to $749","Estimate!!Total!!With cash rent!!$750 to $799","Margin of Error!!Total!!With cash rent!!$750 to $799","Estimate!!Total!!With cash rent!!$800 to $899","Margin of Error!!Total!!With cash rent!!$800 to $899","Estimate!!Total!!With cash rent!!$900 to $999","Margin of Error!!Total!!With cash rent!!$900 to $999","Estimate!!Total!!With cash rent!!$1,000 to $1,249","Margin of Error!!Total!!With cash rent!!$1,000 to $1,249","Estimate!!Total!!With cash rent!!$1,250 to $1,499","Margin of Error!!Total!!With cash rent!!$1,250 to $1,499","Estimate!!Total!!With cash rent!!$1,500 to $1,999","Margin of Error!!Total!!With cash rent!!$1,500 to $1,999","Estimate!!Total!!With cash rent!!$2,000 or more","Margin of Error!!Total!!With cash rent!!$2,000 or more","Estimate!!Total!!No cash rent","Margin of Error!!Total!!No cash rent"
"1500000US360470001001","Block Group 1, Census Tract 1, Kings County, New York","182","74","182","74","0","12","0","12","0","12","0","12","0","12","0","12","14","22","0","12","0","12","0","12","0","12","0","12","0","12","0","12","17","27","0","12","38","56","0","12","0","12","30","27","83","68","0","12"
"1500000US360470001002","Block Group 2, Census Tract 1, Kings County, New York","188","80","188","80","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","18","29","95","73","19","28","56","43","0","12"
"1500000US360470001003","Block Group 3, Census Tract 1, Kings County, New York","502","122","502","122","0","12","0","12","0","12","0","12","0","12","0","12","0","12","13","20","0","12","0","12","0","12","13","21","0","12","23","37","0","12","15","24","0","12","36","38","133","88","156","69","113","74","0","12"
"1500000US360470001004","Block Group 4, Census Tract 1, Kings County, New York","195","96","180","99","0","12","15","25","0","12","0","12","0","12","0","12","0","12","0","12","10","17","16","27","15","24","0","12","0","12","0","12","14","23","0","12","45","72","17","26","14","24","34","39","0","12","15","25"
"1500000US360470002001","Block Group 1, Census Tract 2, Kings County, New York","327","51","302","54","0","12","0","12","0","12","0","12","23","27","0","12","0","12","0","12","0","12","0","12","25","24","0","12","11","18","0","12","0","12","0","12","0","12","101","54","49","34","93","47","0","12","25","37"
"1500000US360470003011","Block Group 1, Census Tract 3.01, Kings County, New York","242","104","242","104","0","12","0","12","0","12","0","12","43","70","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","15","24","17","27","0","12","25","29","142","95","0","12"
"1500000US360470003012","Block Group 2, Census Tract 3.01, Kings County, New York","198","97","198","97","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","5","12","0","12","0","12","90","96","57","44","46","40","0","12"
"1500000US360470003013","Block Group 3, Census Tract 3.01, Kings County, New York","199","71","195","71","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","13","22","22","37","9","15","11","17","140","63","4","12"
"1500000US360470003014","Block Group 4, Census Tract 3.01, Kings County, New York","259","109","249","113","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","27","41","19","31","133","95","70","56","10","17"
"1500000US360470003015","Block Group 5, Census Tract 3.01, Kings County, New York","34","40","34","40","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","21","34","13","21","0","12"
"1500000US360470005011","Block Group 1, Census Tract 5.01, Kings County, New York","296","115","238","105","0","12","0","12","0","12","0","12","0","12","0","12","0","12","33","54","0","12","7","16","0","12","0","12","0","12","0","12","0","12","0","12","16","26","28","31","0","12","84","54","70","53","58","63"
"1500000US360470005012","Block Group 2, Census Tract 5.01, Kings County, New York","363","106","353","106","0","12","31","50","0","12","14","19","13","23","18","27","14","15","0","12","0","12","17","27","0","12","0","12","0","12","10","16","0","12","0","12","0","12","0","12","0","12","57","40","179","101","10","17"
"1500000US360470005013","Block Group 3, Census Tract 5.01, Kings County, New York","304","89","276","87","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","23","28","15","23","0","12","0","12","0","12","11","17","0","12","50","58","177","77","28","30"
"1500000US360470005021","Block Group 1, Census Tract 5.02, Kings County, New York","325","87","325","87","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","10","15","0","12","0","12","11","16","0","12","0","12","61","53","50","38","193","82","0","12"
"1500000US360470005022","Block Group 2, Census Tract 5.02, Kings County, New York","463","107","463","107","0","12","0","12","0","12","7","11","0","12","37","58","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","8","13","11","17","16","25","89","67","128","75","167","74","0","12"
"1500000US360470007001","Block Group 1, Census Tract 7, Kings County, New York","501","127","496","127","0","12","0","12","0","12","0","12","0","12","0","12","16","24","8","13","11","18","0","12","0","12","9","15","0","12","0","12","56","54","10","16","0","12","26","32","15","24","208","109","137","72","5","7"
"1500000US360470007002","Block Group 2, Census Tract 7, Kings County, New York","158","57","158","57","0","12","0","12","0","12","0","12","0","12","0","12","13","22","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","11","16","0","12","62","35","72","39","0","12"
"1500000US360470007003","Block Group 3, Census Tract 7, Kings County, New York","407","97","407","97","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","15","22","0","12","0","12","0","12","9","15","0","12","6","11","0","12","0","12","18","20","106","54","253","97","0","12"
"1500000US360470009001","Block Group 1, Census Tract 9, Kings County, New York","640","137","640","137","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","8","13","0","12","0","12","0","12","0","12","9","16","0","12","35","40","51","36","32","30","152","83","353","92","0","12"
"1500000US360470009002","Block Group 2, Census Tract 9, Kings County, New York","782","150","744","152","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","12","20","0","12","0","12","0","12","0","12","51","55","0","12","52","68","193","102","436","98","38","61"
"1500000US360470011001","Block Group 1, Census Tract 11, Kings County, New York","313","31","313","31","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","12","19","4","7","13","16","5","8","26","18","253","39","0","12"
"1500000US360470013001","Block Group 1, Census Tract 13, Kings County, New York","134","52","129","53","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","5","8","42","30","33","25","49","39","5","7"
"1500000US360470013002","Block Group 2, Census Tract 13, Kings County, New York","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12"
"1500000US360470015001","Block Group 1, Census Tract 15, Kings County, New York","449","84","428","76","0","12","0","12","0","12","0","12","9","14","0","12","0","12","0","12","0","12","0","12","11","18","0","12","0","12","0","12","0","12","0","12","0","12","9","15","20","22","145","60","234","59","21","32"
"1500000US360470015002","Block Group 2, Census Tract 15, Kings County, New York","524","98","524","98","0","12","0","12","8","14","92","57","38","33","38","42","71","36","28","33","57","39","46","35","0","12","61","43","30","35","0","12","6","10","20","19","22","25","7","12","0","12","0","12","0","12","0","12"
"1500000US360470015003","Block Group 3, Census Tract 15, Kings County, New York","732","120","697","118","0","12","0","12","0","12","28","42","0","12","15","24","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","58","44","54","39","542","99","35","38"
"1500000US360470018000","Block Group 0, Census Tract 18, Kings County, New York","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12"
"1500000US360470018001","Block Group 1, Census Tract 18, Kings County, New York","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12"
"1500000US360470020001","Block Group 1, Census Tract 20, Kings County, New York","137","50","137","50","0","12","0","12","0","12","0","12","0","12","0","12","9","13","0","12","10","16","0","12","0","12","0","12","0","12","0","12","0","12","7","11","0","12","24","20","65","42","22","24","0","12","0","12"
"1500000US360470020002","Block Group 2, Census Tract 20, Kings County, New York","133","52","110","45","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","18","21","0","12","0","12","12","20","0","12","0","12","9","13","0","12","13","15","0","12","11","17","35","28","12","18","23","25"
"1500000US360470021001","Block Group 1, Census Tract 21, Kings County, New York","46","32","46","32","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","10","15","0","12","0","12","0","12","0","12","36","29","0","12"
"1500000US360470021002","Block Group 2, Census Tract 21, Kings County, New York","453","125","453","125","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","10","18","0","12","0","12","0","12","0","12","0","12","8","12","0","12","435","130","0","12"
"1500000US360470021003","Block Group 3, Census Tract 21, Kings County, New York","339","109","339","109","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","8","11","11","17","0","12","0","12","48","34","15","26","257","99","0","12"
"1500000US360470022001","Block Group 1, Census Tract 22, Kings County, New York","393","91","393","91","0","12","0","12","0","12","0","12","0","12","0","12","0","12","21","32","0","12","22","36","8","12","19","31","20","31","0","12","0","12","0","12","0","12","96","70","148","73","39","34","20","34","0","12"
"1500000US360470022002","Block Group 2, Census Tract 22, Kings County, New York","342","100","326","101","0","12","0","12","0","12","53","30","6","10","8","11","16","24","0","12","6","9","0","12","0","12","0","12","0","12","0","12","0","12","11","21","69","46","56","47","25","29","59","67","17","27","16","26"
"1500000US360470022003","Block Group 3, Census Tract 22, Kings County, New York","418","100","396","94","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","13","14","0","12","0","12","0","12","34","39","0","12","6","9","73","43","33","26","132","73","69","52","19","22","17","27","22","26"
"1500000US360470023001","Block Group 1, Census Tract 23, Kings County, New York","551","117","551","117","0","12","0","12","89","59","71","44","48","47","23","31","60","80","0","12","0","12","74","56","44","66","7","11","0","12","0","12","18","17","41","43","33","46","6","11","19","32","18","30","0","12","0","12"
"1500000US360470023002","Block Group 2, Census Tract 23, Kings County, New York","568","97","568","97","7","11","19","29","7","11","107","61","32","30","68","70","32","38","40","39","10","20","38","44","37","41","26","25","0","12","0","12","16","19","48","55","49","37","13","21","19","28","0","12","0","12","0","12"
"1500000US360470023003","Block Group 3, Census Tract 23, Kings County, New York","432","78","432","78","0","12","20","32","47","50","104","50","19","31","21","25","33","30","11","14","6","11","34","32","18","22","0","12","7","11","35","30","0","12","39","44","29","32","9","16","0","12","0","12","0","12","0","12"
"1500000US360470029011","Block Group 1, Census Tract 29.01, Kings County, New York","1015","85","1015","85","0","12","11","17","29","27","213","87","124","77","150","78","42","36","47","42","35","26","106","53","41","40","57","46","17","21","23","26","39","35","51","47","18","16","0","12","12","18","0","12","0","12","0","12"
"1500000US360470029012","Block Group 2, Census Tract 29.01, Kings County, New York","228","73","228","73","0","12","0","12","10","15","46","30","24","37","20","23","32","40","32","44","0","12","39","46","0","12","0","12","16","19","0","12","0","12","0","12","0","12","9","17","0","12","0","12","0","12","0","12"
"1500000US360470030001","Block Group 1, Census Tract 30, Kings County, New York","121","49","118","50","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","4","7","0","12","0","12","0","12","34","51","10","16","0","12","19","19","48","46","3","5","3","6"
"1500000US360470030002","Block Group 2, Census Tract 30, Kings County, New York","175","58","175","58","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","21","28","17","27","32","42","60","40","33","34","12","12","0","12"
"1500000US360470031001","Block Group 1, Census Tract 31, Kings County, New York","364","88","358","89","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","19","18","24","22","62","55","85","52","91","65","77","38","6","9"
