"GEO_ID","NAME","B25063_001E","B25063_001M","B25063_002E","B25063_002M","B25063_003E","B25063_003M","B25063_004E","B25063_004M","B25063_005E","B25063_005M","B25063_006E","B25063_006M","B25063_007E","B25063_007M","B25063_008E","B25063_008M","B25063_009E","B25063_009M","B25063_010E","B25063_010M","B25063_011E","B25063_011M","B25063_012E","B25063_012M","B25063_013E","B25063_013M","B25063_014E","B25063_014M","B25063_015E","B25063_015M","B25063_016E","B25063_016M","B25063_017E","B25063_017M","B25063_018E","B25063_018M","B25063_019E","B25063_019M","B25063_020E","B25063_020M","B25063_021E","B25063_021M","B25063_022E","B25063_022M","B25063_023E","B25063_023M","B25063_024E","B25063_024M","B25063_025E","B25063_025M","B25063_026E","B25063_026M","B25063_027E","B25063_027M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!With cash rent","Margin of Error!!Total!!With cash rent","Estimate!!Total!!With cash rent!!Less than $100","Margin of Error!!Total!!With cash rent!!Less than $100","Estimate!!Total!!With cash rent!!$100 to $149","Margin of Error!!Total!!With cash rent!!$100 to $149","Estimate!!Total!!With cash rent!!$150 to $199","Margin of Error!!Total!!With cash rent!!$150 to $199","Estimate!!Total!!With cash rent!!$200 to $249","Margin of Error!!Total!!With cash rent!!$200 to $249","Estimate!!Total!!With cash rent!!$250 to $299","Margin of Error!!Total!!With cash rent!!$250 to $299","Estimate!!Total!!With cash rent!!$300 to $349","Margin of Error!!Total!!With cash rent!!$300 to $349","Estimate!!Total!!With cash rent!!$350 to $399","Margin of Error!!Total!!With cash rent!!$350 to $399","Estimate!!Total!!With cash rent!!$400 to $449","Margin of Error!!Total!!With cash rent!!$400 to $449","Estimate!!Total!!With cash rent!!$450 to $499","Margin of Error!!Total!!With cash rent!!$450 to $499","Estimate!!Total!!With cash rent!!$500 to $549","Margin of Error!!Total!!With cash rent!!$500 to $549","Estimate!!Total!!With cash rent!!$550 to $599","Margin of Error!!Total!!With cash rent!!$550 to $599","Estimate!!Total!!With cash rent!!$600 to $649","Margin of Error!!Total!!With cash rent!!$600 to $649","Estimate!!Total!!With cash rent!!$650 to $699","Margin of Error!!Total!!With cash rent!!$650 to $699","Estimate!!Total!!With cash rent!!$700 to $749","Margin of Error!!Total!!With cash rent!!$700 to $749","Estimate!!Total!!With cash rent!!$750 to $799","Margin of Error!!Total!!With cash rent!!$750 to $799","Estimate!!Total!!With cash rent!!$800 to $899","Margin of Error!!Total!!With cash rent!!$800 to $899","Estimate!!Total!!With cash rent!!$900 to $999","Margin of Error!!Total!!With cash rent!!$900 to $999","Estimate!!Total!!With cash rent!!$1,000 to $1,249","Margin of Error!!Total!!With cash rent!!$1,000 to $1,249","Estimate!!Total!!With cash rent!!$1,250 to $1,499","Margin of Error!!Total!!With cash rent!!$1,250 to $1,499","Estimate!!Total!!With cash rent!!$1,500 to $1,999","Margin of Error!!Total!!With cash rent!!$1,500 to $1,999","Estimate!!Total!!With cash rent!!$2,000 to $2,499","Margin of Error!!Total!!With cash rent!!$2,000 to $2,499","Estimate!!Total!!With cash rent!!$2,500 to $2,999","Margin of Error!!Total!!With cash rent!!$2,500 to $2,999","Estimate!!Total!!With cash rent!!$3,000 to $3,499","Margin of Error!!Total!!With cash rent!!$3,000 to $3,499","Estimate!!Total!!With cash rent!!$3,500 or more","Margin of Error!!Total!!With cash rent!!$3,500 or more","Estimate!!Total!!No cash rent","Margin of Error!!Total!!No cash rent"
"1500000US360471192001","Block Group 1, Census Tract 1192, Kings County, New York","213","65","213","65","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","10","17","0","11","18","19","10","15","14","11","115","59","38","34","8","13","0","11","0","11","0","11","0","11"
"1500000US360471192002","Block Group 2, Census Tract 1192, Kings County, New York","310","79","287","83","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","6","9","0","11","0","11","19","30","39","33","0","11","68","46","99","53","56","49","0","11","0","11","0","11","0","11","23","27"
"1500000US360471192003","Block Group 3, Census Tract 1192, Kings County, New York","219","74","197","64","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","16","25","41","32","4","8","39","40","67","51","30","35","0","11","0","11","0","11","0","11","22","34"
"1500000US360471194001","Block Group 1, Census Tract 1194, Kings County, New York","187","75","187","75","0","11","0","11","0","11","0","11","0","11","14","23","0","11","0","11","0","11","0","11","0","11","8","16","0","11","0","11","30","34","40","43","10","16","38","38","32","37","15","24","0","11","0","11","0","11","0","11","0","11"
"1500000US360471194002","Block Group 2, Census Tract 1194, Kings County, New York","299","95","299","95","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","14","22","0","11","0","11","0","11","12","18","31","37","23","34","25","29","115","72","44","41","35","40","0","11","0","11","0","11","0","11"
"1500000US360471194003","Block Group 3, Census Tract 1194, Kings County, New York","245","91","231","90","0","11","0","11","0","11","0","11","0","11","0","11","0","11","17","27","0","11","0","11","0","11","14","24","16","21","0","11","0","11","21","26","25","41","69","51","10","15","52","47","7","12","0","11","0","11","0","11","14","22"
"1500000US360471196001","Block Group 1, Census Tract 1196, Kings County, New York","428","108","410","110","0","11","0","11","0","11","27","44","0","11","0","11","0","11","0","11","24","37","56","49","0","11","14","19","0","11","0","11","0","11","16","25","31","47","141","74","25","23","76","61","0","11","0","11","0","11","0","11","18","26"
"1500000US360471196002","Block Group 2, Census Tract 1196, Kings County, New York","172","86","149","78","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","9","13","38","42","0","11","58","49","0","11","44","52","0","11","0","11","0","11","0","11","23","36"
"1500000US360471196003","Block Group 3, Census Tract 1196, Kings County, New York","404","109","385","111","7","12","0","11","10","16","0","11","0","11","0","11","0","11","0","11","0","11","19","31","0","11","0","11","0","11","15","17","0","11","28","35","38","40","176","91","92","49","0","11","0","11","0","11","0","11","0","11","19","30"
