"GEO_ID","NAME","B25064_001E","B25064_001M"
"id","Geographic Area Name","Estimate!!Median gross rent","Margin of Error!!Median gross rent"
"1500000US360470001001","Block Group 1, Census Tract 1, Kings County, New York","2,000+","***"
"1500000US360470003011","Block Group 1, Census Tract 3.01, Kings County, New York","2,000+","***"
"1500000US360470003013","Block Group 3, Census Tract 3.01, Kings County, New York","2,000+","***"
"1500000US360470003015","Block Group 5, Census Tract 3.01, Kings County, New York","-","**"
"1500000US360470005013","Block Group 3, Census Tract 5.01, Kings County, New York","2,000+","***"
"1500000US360470007003","Block Group 3, Census Tract 7, Kings County, New York","2,000+","***"
"1500000US360470009001","Block Group 1, Census Tract 9, Kings County, New York","2,000+","***"
"1500000US360470009002","Block Group 2, Census Tract 9, Kings County, New York","2,000+","***"
"1500000US360470011001","Block Group 1, Census Tract 11, Kings County, New York","2,000+","***"
"1500000US360470013002","Block Group 2, Census Tract 13, Kings County, New York","-","**"
"1500000US360470015001","Block Group 1, Census Tract 15, Kings County, New York","2,000+","***"
"1500000US360470015003","Block Group 3, Census Tract 15, Kings County, New York","2,000+","***"
"1500000US360470018000","Block Group 0, Census Tract 18, Kings County, New York","-","**"
"1500000US360470018001","Block Group 1, Census Tract 18, Kings County, New York","-","**"
"1500000US360470021001","Block Group 1, Census Tract 21, Kings County, New York","2,000+","***"
"1500000US360470021002","Block Group 2, Census Tract 21, Kings County, New York","2,000+","***"
"1500000US360470021003","Block Group 3, Census Tract 21, Kings County, New York","2,000+","***"
"1500000US360470031002","Block Group 2, Census Tract 31, Kings County, New York","-","**"
"1500000US360470033002","Block Group 2, Census Tract 33, Kings County, New York","2,000+","***"
"1500000US360470034000","Block Group 0, Census Tract 34, Kings County, New York","-","**"
"1500000US360470035001","Block Group 1, Census Tract 35, Kings County, New York","2,000+","***"
"1500000US360470037001","Block Group 1, Census Tract 37, Kings County, New York","2,000+","***"
"1500000US360470038000","Block Group 0, Census Tract 38, Kings County, New York","-","**"
"1500000US360470041002","Block Group 2, Census Tract 41, Kings County, New York","2,000+","***"
"1500000US360470041003","Block Group 3, Census Tract 41, Kings County, New York","2,000+","***"
"1500000US360470043001","Block Group 1, Census Tract 43, Kings County, New York","-","**"
"1500000US360470043003","Block Group 3, Census Tract 43, Kings County, New York","2,000+","***"
"1500000US360470044000","Block Group 0, Census Tract 44, Kings County, New York","-","**"
"1500000US360470045002","Block Group 2, Census Tract 45, Kings County, New York","2,000+","***"
"1500000US360470046000","Block Group 0, Census Tract 46, Kings County, New York","-","**"
"1500000US360470049003","Block Group 3, Census Tract 49, Kings County, New York","2,000+","***"
"1500000US360470050000","Block Group 0, Census Tract 50, Kings County, New York","-","**"
"1500000US360470051002","Block Group 2, Census Tract 51, Kings County, New York","2,000+","***"
"1500000US360470051003","Block Group 3, Census Tract 51, Kings County, New York","2,000+","***"
"1500000US360470052010","Block Group 0, Census Tract 52.01, Kings County, New York","-","**"
"1500000US360470052020","Block Group 0, Census Tract 52.02, Kings County, New York","-","**"
"1500000US360470053000","Block Group 0, Census Tract 53, Kings County, New York","-","**"
"1500000US360470054000","Block Group 0, Census Tract 54, Kings County, New York","-","**"
"1500000US360470056010","Block Group 0, Census Tract 56.01, Kings County, New York","-","**"
"1500000US360470056020","Block Group 0, Census Tract 56.02, Kings County, New York","-","**"
"1500000US360470063001","Block Group 1, Census Tract 63, Kings County, New York","2,000+","***"
"1500000US360470063002","Block Group 2, Census Tract 63, Kings County, New York","2,000+","***"
"1500000US360470065001","Block Group 1, Census Tract 65, Kings County, New York","2,000+","***"
"1500000US360470065002","Block Group 2, Census Tract 65, Kings County, New York","2,000+","***"
"1500000US360470065003","Block Group 3, Census Tract 65, Kings County, New York","2,000+","***"
"1500000US360470065004","Block Group 4, Census Tract 65, Kings County, New York","2,000+","***"
"1500000US360470067001","Block Group 1, Census Tract 67, Kings County, New York","2,000+","***"
"1500000US360470067002","Block Group 2, Census Tract 67, Kings County, New York","2,000+","***"
"1500000US360470067003","Block Group 3, Census Tract 67, Kings County, New York","2,000+","***"
"1500000US360470067005","Block Group 5, Census Tract 67, Kings County, New York","2,000+","***"
"1500000US360470069001","Block Group 1, Census Tract 69, Kings County, New York","2,000+","***"
"1500000US360470069002","Block Group 2, Census Tract 69, Kings County, New York","2,000+","***"
"1500000US360470069003","Block Group 3, Census Tract 69, Kings County, New York","2,000+","***"
"1500000US360470069004","Block Group 4, Census Tract 69, Kings County, New York","2,000+","***"
"1500000US360470075001","Block Group 1, Census Tract 75, Kings County, New York","2,000+","***"
"1500000US360470075002","Block Group 2, Census Tract 75, Kings County, New York","2,000+","***"
"1500000US360470075003","Block Group 3, Census Tract 75, Kings County, New York","2,000+","***"
"1500000US360470075005","Block Group 5, Census Tract 75, Kings County, New York","2,000+","***"
"1500000US360470077002","Block Group 2, Census Tract 77, Kings County, New York","2,000+","***"
"1500000US360470077004","Block Group 4, Census Tract 77, Kings County, New York","2,000+","***"
"1500000US360470086001","Block Group 1, Census Tract 86, Kings County, New York","-","**"
"1500000US360470129012","Block Group 2, Census Tract 129.01, Kings County, New York","2,000+","***"
"1500000US360470129013","Block Group 3, Census Tract 129.01, Kings County, New York","2,000+","***"
"1500000US360470129023","Block Group 3, Census Tract 129.02, Kings County, New York","2,000+","***"
"1500000US360470131002","Block Group 2, Census Tract 131, Kings County, New York","2,000+","***"
"1500000US360470133001","Block Group 1, Census Tract 133, Kings County, New York","2,000+","***"
"1500000US360470133002","Block Group 2, Census Tract 133, Kings County, New York","2,000+","***"
"1500000US360470133003","Block Group 3, Census Tract 133, Kings County, New York","2,000+","***"
"1500000US360470135002","Block Group 2, Census Tract 135, Kings County, New York","2,000+","***"
"1500000US360470135003","Block Group 3, Census Tract 135, Kings County, New York","2,000+","***"
"1500000US360470137001","Block Group 1, Census Tract 137, Kings County, New York","2,000+","***"
"1500000US360470139001","Block Group 1, Census Tract 139, Kings County, New York","2,000+","***"
"1500000US360470149005","Block Group 5, Census Tract 149, Kings County, New York","2,000+","***"
"1500000US360470151001","Block Group 1, Census Tract 151, Kings County, New York","2,000+","***"
"1500000US360470151002","Block Group 2, Census Tract 151, Kings County, New York","2,000+","***"
"1500000US360470151004","Block Group 4, Census Tract 151, Kings County, New York","2,000+","***"
