"GEO_ID","NAME","B25063_001E","B25063_001M","B25063_002E","B25063_002M","B25063_003E","B25063_003M","B25063_004E","B25063_004M","B25063_005E","B25063_005M","B25063_006E","B25063_006M","B25063_007E","B25063_007M","B25063_008E","B25063_008M","B25063_009E","B25063_009M","B25063_010E","B25063_010M","B25063_011E","B25063_011M","B25063_012E","B25063_012M","B25063_013E","B25063_013M","B25063_014E","B25063_014M","B25063_015E","B25063_015M","B25063_016E","B25063_016M","B25063_017E","B25063_017M","B25063_018E","B25063_018M","B25063_019E","B25063_019M","B25063_020E","B25063_020M","B25063_021E","B25063_021M","B25063_022E","B25063_022M","B25063_023E","B25063_023M","B25063_024E","B25063_024M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!With cash rent","Margin of Error!!Total!!With cash rent","Estimate!!Total!!With cash rent!!Less than $100","Margin of Error!!Total!!With cash rent!!Less than $100","Estimate!!Total!!With cash rent!!$100 to $149","Margin of Error!!Total!!With cash rent!!$100 to $149","Estimate!!Total!!With cash rent!!$150 to $199","Margin of Error!!Total!!With cash rent!!$150 to $199","Estimate!!Total!!With cash rent!!$200 to $249","Margin of Error!!Total!!With cash rent!!$200 to $249","Estimate!!Total!!With cash rent!!$250 to $299","Margin of Error!!Total!!With cash rent!!$250 to $299","Estimate!!Total!!With cash rent!!$300 to $349","Margin of Error!!Total!!With cash rent!!$300 to $349","Estimate!!Total!!With cash rent!!$350 to $399","Margin of Error!!Total!!With cash rent!!$350 to $399","Estimate!!Total!!With cash rent!!$400 to $449","Margin of Error!!Total!!With cash rent!!$400 to $449","Estimate!!Total!!With cash rent!!$450 to $499","Margin of Error!!Total!!With cash rent!!$450 to $499","Estimate!!Total!!With cash rent!!$500 to $549","Margin of Error!!Total!!With cash rent!!$500 to $549","Estimate!!Total!!With cash rent!!$550 to $599","Margin of Error!!Total!!With cash rent!!$550 to $599","Estimate!!Total!!With cash rent!!$600 to $649","Margin of Error!!Total!!With cash rent!!$600 to $649","Estimate!!Total!!With cash rent!!$650 to $699","Margin of Error!!Total!!With cash rent!!$650 to $699","Estimate!!Total!!With cash rent!!$700 to $749","Margin of Error!!Total!!With cash rent!!$700 to $749","Estimate!!Total!!With cash rent!!$750 to $799","Margin of Error!!Total!!With cash rent!!$750 to $799","Estimate!!Total!!With cash rent!!$800 to $899","Margin of Error!!Total!!With cash rent!!$800 to $899","Estimate!!Total!!With cash rent!!$900 to $999","Margin of Error!!Total!!With cash rent!!$900 to $999","Estimate!!Total!!With cash rent!!$1,000 to $1,249","Margin of Error!!Total!!With cash rent!!$1,000 to $1,249","Estimate!!Total!!With cash rent!!$1,250 to $1,499","Margin of Error!!Total!!With cash rent!!$1,250 to $1,499","Estimate!!Total!!With cash rent!!$1,500 to $1,999","Margin of Error!!Total!!With cash rent!!$1,500 to $1,999","Estimate!!Total!!With cash rent!!$2,000 or more","Margin of Error!!Total!!With cash rent!!$2,000 or more","Estimate!!Total!!No cash rent","Margin of Error!!Total!!No cash rent"
"1500000US360610001001","Block Group 1, Census Tract 1, New York County, New York","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12"
"1500000US360610002010","Block Group 0, Census Tract 2.01, New York County, New York","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12"
"1500000US360610002011","Block Group 1, Census Tract 2.01, New York County, New York","311","84","311","84","0","12","0","12","0","12","12","21","0","12","8","12","8","14","0","12","9","13","9","17","0","12","19","30","0","12","0","12","0","12","6","9","15","23","91","69","8","13","86","57","40","34","0","12"
"1500000US360610002012","Block Group 2, Census Tract 2.01, New York County, New York","622","99","622","99","0","12","21","33","0","12","115","59","16","17","64","45","56","61","21","22","60","54","29","32","9","14","25","30","27","24","7","11","10","16","57","61","75","52","30","34","0","12","0","12","0","12","0","12"
"1500000US360610002020","Block Group 0, Census Tract 2.02, New York County, New York","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12"
"1500000US360610002021","Block Group 1, Census Tract 2.02, New York County, New York","215","96","215","96","0","12","0","12","0","12","0","12","0","12","31","35","0","12","0","12","0","12","12","22","15","24","18","28","17","28","0","12","51","63","0","12","54","69","0","12","0","12","17","29","0","12","0","12"
"1500000US360610002022","Block Group 2, Census Tract 2.02, New York County, New York","490","130","490","130","0","12","0","12","0","12","34","38","74","67","0","12","0","12","0","12","0","12","17","26","0","12","29","33","50","50","47","55","43","69","77","67","38","34","64","58","0","12","17","25","0","12","0","12"
"1500000US360610002023","Block Group 3, Census Tract 2.02, New York County, New York","843","172","843","172","0","12","15","25","67","77","210","111","45","41","91","96","23","38","15","25","39","52","0","12","32","37","35","44","25","29","40","65","0","12","40","46","75","69","91","103","0","12","0","12","0","12","0","12"
"1500000US360610002024","Block Group 4, Census Tract 2.02, New York County, New York","716","219","701","218","0","12","0","12","35","57","119","63","44","55","32","50","13","21","21","26","0","12","121","113","0","12","43","52","42","66","38","46","0","12","0","12","169","177","24","43","0","12","0","12","0","12","15","24"
"1500000US360610002025","Block Group 5, Census Tract 2.02, New York County, New York","434","157","381","144","0","12","0","12","24","29","0","12","44","51","0","12","39","46","14","23","0","12","0","12","38","60","0","12","36","53","0","12","27","42","16","25","60","49","43","69","0","12","0","12","40","66","53","74"
"1500000US360610005000","Block Group 0, Census Tract 5, New York County, New York","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12"
"1500000US360610005001","Block Group 1, Census Tract 5, New York County, New York","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12"
"1500000US360610005002","Block Group 2, Census Tract 5, New York County, New York","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12"
"1500000US360610006000","Block Group 0, Census Tract 6, New York County, New York","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12"
"1500000US360610006001","Block Group 1, Census Tract 6, New York County, New York","462","140","462","140","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","11","18","0","12","0","12","53","82","55","63","14","23","27","31","139","120","49","50","34","41","0","12","55","71","25","29","0","12"
"1500000US360610006002","Block Group 2, Census Tract 6, New York County, New York","1047","238","1047","238","25","39","0","12","60","69","28","33","185","119","145","114","44","46","47","40","48","56","0","12","10","16","17","31","0","12","0","12","31","36","64","105","81","112","182","159","33","55","47","59","0","12","0","12"
"1500000US360610006003","Block Group 3, Census Tract 6, New York County, New York","352","142","352","142","0","12","0","12","0","12","20","34","101","95","0","12","50","52","31","51","12","22","0","12","0","12","0","12","0","12","0","12","0","12","0","12","49","81","12","21","0","12","44","76","33","58","0","12"
"1500000US360610006004","Block Group 4, Census Tract 6, New York County, New York","384","152","384","152","0","12","0","12","0","12","0","12","0","12","0","12","13","22","42","67","13","21","0","12","17","28","0","12","0","12","28","44","13","22","16","27","0","12","64","50","60","92","63","84","55","67","0","12"
