GEO_ID,NAME,B25063_001E,B25063_001M,B25063_002E,B25063_002M,B25063_003E,B25063_003M,B25063_004E,B25063_004M,B25063_005E,B25063_005M,B25063_006E,B25063_006M,B25063_007E,B25063_007M,B25063_008E,B25063_008M,B25063_009E,B25063_009M,B25063_010E,B25063_010M,B25063_011E,B25063_011M,B25063_012E,B25063_012M,B25063_013E,B25063_013M,B25063_014E,B25063_014M,B25063_015E,B25063_015M,B25063_016E,B25063_016M,B25063_017E,B25063_017M,B25063_018E,B25063_018M,B25063_019E,B25063_019M,B25063_020E,B25063_020M,B25063_021E,B25063_021M,B25063_022E,B25063_022M,B25063_023E,B25063_023M,B25063_024E,B25063_024M,B25063_025E,B25063_025M,B25063_026E,B25063_026M,B25063_027E,B25063_027M
id,Geographic Area Name,Estimate!!Total,Margin of Error!!Total,Estimate!!Total!!With cash rent,Margin of Error!!Total!!With cash rent,Estimate!!Total!!With cash rent!!Less than $100,Margin of Error!!Total!!With cash rent!!Less than $100,Estimate!!Total!!With cash rent!!$100 to $149,Margin of Error!!Total!!With cash rent!!$100 to $149,Estimate!!Total!!With cash rent!!$150 to $199,Margin of Error!!Total!!With cash rent!!$150 to $199,Estimate!!Total!!With cash rent!!$200 to $249,Margin of Error!!Total!!With cash rent!!$200 to $249,Estimate!!Total!!With cash rent!!$250 to $299,Margin of Error!!Total!!With cash rent!!$250 to $299,Estimate!!Total!!With cash rent!!$300 to $349,Margin of Error!!Total!!With cash rent!!$300 to $349,Estimate!!Total!!With cash rent!!$350 to $399,Margin of Error!!Total!!With cash rent!!$350 to $399,Estimate!!Total!!With cash rent!!$400 to $449,Margin of Error!!Total!!With cash rent!!$400 to $449,Estimate!!Total!!With cash rent!!$450 to $499,Margin of Error!!Total!!With cash rent!!$450 to $499,Estimate!!Total!!With cash rent!!$500 to $549,Margin of Error!!Total!!With cash rent!!$500 to $549,Estimate!!Total!!With cash rent!!$550 to $599,Margin of Error!!Total!!With cash rent!!$550 to $599,Estimate!!Total!!With cash rent!!$600 to $649,Margin of Error!!Total!!With cash rent!!$600 to $649,Estimate!!Total!!With cash rent!!$650 to $699,Margin of Error!!Total!!With cash rent!!$650 to $699,Estimate!!Total!!With cash rent!!$700 to $749,Margin of Error!!Total!!With cash rent!!$700 to $749,Estimate!!Total!!With cash rent!!$750 to $799,Margin of Error!!Total!!With cash rent!!$750 to $799,Estimate!!Total!!With cash rent!!$800 to $899,Margin of Error!!Total!!With cash rent!!$800 to $899,Estimate!!Total!!With cash rent!!$900 to $999,Margin of Error!!Total!!With cash rent!!$900 to $999,"Estimate!!Total!!With cash rent!!$1,000 to $1,249","Margin of Error!!Total!!With cash rent!!$1,000 to $1,249","Estimate!!Total!!With cash rent!!$1,250 to $1,499","Margin of Error!!Total!!With cash rent!!$1,250 to $1,499","Estimate!!Total!!With cash rent!!$1,500 to $1,999","Margin of Error!!Total!!With cash rent!!$1,500 to $1,999","Estimate!!Total!!With cash rent!!$2,000 to $2,499","Margin of Error!!Total!!With cash rent!!$2,000 to $2,499","Estimate!!Total!!With cash rent!!$2,500 to $2,999","Margin of Error!!Total!!With cash rent!!$2,500 to $2,999","Estimate!!Total!!With cash rent!!$3,000 to $3,499","Margin of Error!!Total!!With cash rent!!$3,000 to $3,499","Estimate!!Total!!With cash rent!!$3,500 or more","Margin of Error!!Total!!With cash rent!!$3,500 or more",Estimate!!Total!!No cash rent,Margin of Error!!Total!!No cash rent
1500000US360610013001,"Block Group 1, Census Tract 13, New York County, New York",1052,154,1037,155,0,11,11,17,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,31,23,249,110,338,120,222,103,186,89,15,24
1500000US360610013002,"Block Group 2, Census Tract 13, New York County, New York",1207,172,1197,173,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,21,36,0,11,0,11,0,11,0,11,0,11,278,118,494,158,251,103,153,92,10,17
1500000US360610014011,"Block Group 1, Census Tract 14.01, New York County, New York",118,79,108,78,0,11,0,11,0,11,0,11,0,11,0,11,0,11,7,12,0,11,0,11,26,43,0,11,0,11,0,11,0,11,0,11,0,11,8,12,0,11,0,11,0,11,67,68,0,11,0,11,10,15
1500000US360610014012,"Block Group 2, Census Tract 14.01, New York County, New York",271,89,271,89,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,9,14,51,54,19,30,0,11,12,18,19,20,18,19,0,11,12,5,0,11,29,46,9,14,33,25,17,18,43,50,0,11
1500000US360610014021,"Block Group 1, Census Tract 14.02, New York County, New York",685,94,685,94,0,11,0,11,0,11,86,45,34,25,53,31,18,27,7,11,5,10,6,9,15,20,6,13,42,35,13,21,9,15,14,22,32,23,18,25,85,69,46,30,106,60,82,42,8,14,0,11,0,11
1500000US360610014022,"Block Group 2, Census Tract 14.02, New York County, New York",632,81,621,87,0,11,0,11,27,32,56,39,14,22,32,32,56,38,7,11,8,13,24,30,9,14,37,33,0,11,21,25,18,28,45,40,25,26,88,65,0,11,87,41,16,26,33,25,0,11,18,28,11,17
1500000US360610015010,"Block Group 0, Census Tract 15.01, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610015011,"Block Group 1, Census Tract 15.01, New York County, New York",1114,219,1084,215,0,11,0,11,0,11,0,11,0,11,15,23,18,28,17,27,16,25,0,11,0,11,25,43,0,11,0,11,0,11,14,22,59,54,13,23,34,50,0,11,117,85,186,121,312,124,258,121,30,45
1500000US360610015012,"Block Group 2, Census Tract 15.01, New York County, New York",584,222,584,222,0,11,0,11,0,11,0,11,0,11,0,11,15,25,37,43,0,11,49,77,21,32,85,70,21,31,23,36,48,44,148,116,33,39,88,113,16,28,0,11,0,11,0,11,0,11,0,11,0,11
