"GEO_ID","NAME","B25063_001E","B25063_001M","B25063_002E","B25063_002M","B25063_003E","B25063_003M","B25063_004E","B25063_004M","B25063_005E","B25063_005M","B25063_006E","B25063_006M","B25063_007E","B25063_007M","B25063_008E","B25063_008M","B25063_009E","B25063_009M","B25063_010E","B25063_010M","B25063_011E","B25063_011M","B25063_012E","B25063_012M","B25063_013E","B25063_013M","B25063_014E","B25063_014M","B25063_015E","B25063_015M","B25063_016E","B25063_016M","B25063_017E","B25063_017M","B25063_018E","B25063_018M","B25063_019E","B25063_019M","B25063_020E","B25063_020M","B25063_021E","B25063_021M","B25063_022E","B25063_022M","B25063_023E","B25063_023M","B25063_024E","B25063_024M","B25063_025E","B25063_025M","B25063_026E","B25063_026M","B25063_027E","B25063_027M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!With cash rent","Margin of Error!!Total!!With cash rent","Estimate!!Total!!With cash rent!!Less than $100","Margin of Error!!Total!!With cash rent!!Less than $100","Estimate!!Total!!With cash rent!!$100 to $149","Margin of Error!!Total!!With cash rent!!$100 to $149","Estimate!!Total!!With cash rent!!$150 to $199","Margin of Error!!Total!!With cash rent!!$150 to $199","Estimate!!Total!!With cash rent!!$200 to $249","Margin of Error!!Total!!With cash rent!!$200 to $249","Estimate!!Total!!With cash rent!!$250 to $299","Margin of Error!!Total!!With cash rent!!$250 to $299","Estimate!!Total!!With cash rent!!$300 to $349","Margin of Error!!Total!!With cash rent!!$300 to $349","Estimate!!Total!!With cash rent!!$350 to $399","Margin of Error!!Total!!With cash rent!!$350 to $399","Estimate!!Total!!With cash rent!!$400 to $449","Margin of Error!!Total!!With cash rent!!$400 to $449","Estimate!!Total!!With cash rent!!$450 to $499","Margin of Error!!Total!!With cash rent!!$450 to $499","Estimate!!Total!!With cash rent!!$500 to $549","Margin of Error!!Total!!With cash rent!!$500 to $549","Estimate!!Total!!With cash rent!!$550 to $599","Margin of Error!!Total!!With cash rent!!$550 to $599","Estimate!!Total!!With cash rent!!$600 to $649","Margin of Error!!Total!!With cash rent!!$600 to $649","Estimate!!Total!!With cash rent!!$650 to $699","Margin of Error!!Total!!With cash rent!!$650 to $699","Estimate!!Total!!With cash rent!!$700 to $749","Margin of Error!!Total!!With cash rent!!$700 to $749","Estimate!!Total!!With cash rent!!$750 to $799","Margin of Error!!Total!!With cash rent!!$750 to $799","Estimate!!Total!!With cash rent!!$800 to $899","Margin of Error!!Total!!With cash rent!!$800 to $899","Estimate!!Total!!With cash rent!!$900 to $999","Margin of Error!!Total!!With cash rent!!$900 to $999","Estimate!!Total!!With cash rent!!$1,000 to $1,249","Margin of Error!!Total!!With cash rent!!$1,000 to $1,249","Estimate!!Total!!With cash rent!!$1,250 to $1,499","Margin of Error!!Total!!With cash rent!!$1,250 to $1,499","Estimate!!Total!!With cash rent!!$1,500 to $1,999","Margin of Error!!Total!!With cash rent!!$1,500 to $1,999","Estimate!!Total!!With cash rent!!$2,000 to $2,499","Margin of Error!!Total!!With cash rent!!$2,000 to $2,499","Estimate!!Total!!With cash rent!!$2,500 to $2,999","Margin of Error!!Total!!With cash rent!!$2,500 to $2,999","Estimate!!Total!!With cash rent!!$3,000 to $3,499","Margin of Error!!Total!!With cash rent!!$3,000 to $3,499","Estimate!!Total!!With cash rent!!$3,500 or more","Margin of Error!!Total!!With cash rent!!$3,500 or more","Estimate!!Total!!No cash rent","Margin of Error!!Total!!No cash rent"
"1500000US360610230001","Block Group 1, Census Tract 230, New York County, New York","606","158","536","156","0","11","0","11","0","11","16","24","63","70","0","11","0","11","18","29","50","43","52","84","37","58","0","11","0","11","0","11","0","11","32","36","17","27","84","93","39","44","87","72","19","30","22","34","0","11","0","11","70","77"
"1500000US360610230002","Block Group 2, Census Tract 230, New York County, New York","906","162","886","162","0","11","0","11","63","72","18","27","14","24","58","65","74","71","49","60","38","60","18","29","33","37","52","43","0","11","16","27","26","41","41","66","41","51","141","96","63","48","70","37","36","45","24","36","11","20","0","11","20","32"
"1500000US360610230003","Block Group 3, Census Tract 230, New York County, New York","628","134","609","131","0","11","0","11","0","11","0","11","0","11","36","57","0","11","0","11","16","25","33","54","41","46","0","11","0","11","0","11","34","50","0","11","47","58","200","96","89","73","39","39","38","46","36","39","0","11","0","11","19","30"
"1500000US360610230004","Block Group 4, Census Tract 230, New York County, New York","862","155","846","157","0","11","0","11","0","11","38","35","46","54","46","53","156","90","81","71","23","38","39","47","15","24","97","85","0","11","33","36","45","52","114","101","81","69","32","28","0","11","0","11","0","11","0","11","0","11","0","11","16","24"
"1500000US360610230005","Block Group 5, Census Tract 230, New York County, New York","520","127","520","127","0","11","0","11","0","11","16","27","0","11","0","11","31","50","40","64","0","11","15","25","0","11","16","24","123","99","0","11","53","62","18","28","26","30","43","44","35","58","0","11","104","72","0","11","0","11","0","11","0","11"
"1500000US360610231001","Block Group 1, Census Tract 231, New York County, New York","922","161","868","165","0","11","0","11","0","11","0","11","0","11","13","21","0","11","0","11","13","22","0","11","0","11","9","16","0","11","27","30","56","54","34","38","107","72","63","56","192","117","252","139","78","66","24","43","0","11","0","11","54","49"
"1500000US360610231002","Block Group 2, Census Tract 231, New York County, New York","749","168","722","166","0","11","0","11","0","11","0","11","13","19","42","51","0","11","0","11","0","11","0","11","0","11","0","11","42","48","41","49","0","11","50","60","0","11","118","94","261","129","109","68","46","47","0","11","0","11","0","11","27","44"
"1500000US360610231003","Block Group 3, Census Tract 231, New York County, New York","739","180","721","181","0","11","35","55","0","11","42","66","6","13","28","46","24","39","0","11","0","11","0","11","35","30","14","21","60","76","44","49","0","11","0","11","81","77","18","32","120","73","99","92","98","83","0","11","0","11","17","27","18","28"
"1500000US360610232001","Block Group 1, Census Tract 232, New York County, New York","345","93","345","93","0","11","0","11","38","64","0","11","29","32","0","11","15","25","0","11","13","20","13","21","0","11","0","11","0","11","34","31","0","11","0","11","30","26","13","21","67","57","93","68","0","11","0","11","0","11","0","11","0","11"
"1500000US360610232002","Block Group 2, Census Tract 232, New York County, New York","950","144","927","148","0","11","0","11","30","46","52","68","43","66","25","39","10","17","0","11","91","88","91","68","62","53","15","25","15","23","18","28","55","65","87","86","42","54","109","76","32","41","95","74","55","57","0","11","0","11","0","11","23","41"
"1500000US360610232003","Block Group 3, Census Tract 232, New York County, New York","760","175","760","175","87","109","29","35","0","11","126","94","14","22","0","11","105","88","32","38","47","69","18","17","16","26","0","11","0","11","22","27","8","14","0","11","81","69","32","46","33","46","110","112","0","11","0","11","0","11","0","11","0","11"
