"GEO_ID","NAME","B25070_001E","B25070_001M","B25070_002E","B25070_002M","B25070_003E","B25070_003M","B25070_004E","B25070_004M","B25070_005E","B25070_005M","B25070_006E","B25070_006M","B25070_007E","B25070_007M","B25070_008E","B25070_008M","B25070_009E","B25070_009M","B25070_010E","B25070_010M","B25070_011E","B25070_011M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Less than 10.0 percent","Margin of Error!!Total!!Less than 10.0 percent","Estimate!!Total!!10.0 to 14.9 percent","Margin of Error!!Total!!10.0 to 14.9 percent","Estimate!!Total!!15.0 to 19.9 percent","Margin of Error!!Total!!15.0 to 19.9 percent","Estimate!!Total!!20.0 to 24.9 percent","Margin of Error!!Total!!20.0 to 24.9 percent","Estimate!!Total!!25.0 to 29.9 percent","Margin of Error!!Total!!25.0 to 29.9 percent","Estimate!!Total!!30.0 to 34.9 percent","Margin of Error!!Total!!30.0 to 34.9 percent","Estimate!!Total!!35.0 to 39.9 percent","Margin of Error!!Total!!35.0 to 39.9 percent","Estimate!!Total!!40.0 to 49.9 percent","Margin of Error!!Total!!40.0 to 49.9 percent","Estimate!!Total!!50.0 percent or more","Margin of Error!!Total!!50.0 percent or more","Estimate!!Total!!Not computed","Margin of Error!!Total!!Not computed"
"1500000US360610013001","Block Group 1, Census Tract 13, New York County, New York","1052","154","53","57","137","83","110","68","128","70","101","78","44","41","54","56","161","77","228","102","36","37"
"1500000US360610013002","Block Group 2, Census Tract 13, New York County, New York","1207","172","129","82","120","86","152","112","57","47","189","109","120","68","104","92","39","39","252","115","45","40"
"1500000US360610014011","Block Group 1, Census Tract 14.01, New York County, New York","118","79","8","12","0","11","0","11","0","11","8","13","0","11","0","11","7","12","85","78","10","15"
"1500000US360610014012","Block Group 2, Census Tract 14.01, New York County, New York","271","89","18","19","22","15","37","47","30","21","9","14","9","14","0","11","40","52","106","56","0","11"
"1500000US360610014021","Block Group 1, Census Tract 14.02, New York County, New York","685","94","41","27","34","24","71","47","55","36","98","60","62","34","74","47","67","56","159","73","24","31"
"1500000US360610014022","Block Group 2, Census Tract 14.02, New York County, New York","632","81","45","28","36","31","30","34","47","38","47","40","107","61","71","40","37","36","186","74","26","28"
"1500000US360610015010","Block Group 0, Census Tract 15.01, New York County, New York","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11"
"1500000US360610015011","Block Group 1, Census Tract 15.01, New York County, New York","1114","219","227","135","115","64","173","84","171","129","142","105","62","59","15","22","32","37","133","84","44","61"
"1500000US360610015012","Block Group 2, Census Tract 15.01, New York County, New York","584","222","40","43","88","113","54","51","98","81","23","35","98","68","82","89","0","11","101","91","0","11"
