"GEO_ID","NAME","B25064_001E","B25064_001M"
"id","Geographic Area Name","Estimate!!Median gross rent","Margin of Error!!Median gross rent"
"1500000US360610013001","Block Group 1, Census Tract 13, New York County, New York","2837","147"
"1500000US360610013002","Block Group 2, Census Tract 13, New York County, New York","2803","116"
"1500000US360610014011","Block Group 1, Census Tract 14.01, New York County, New York","2597","2355"
"1500000US360610014012","Block Group 2, Census Tract 14.01, New York County, New York","null","null"
"1500000US360610014021","Block Group 1, Census Tract 14.02, New York County, New York","1035","492"
"1500000US360610014022","Block Group 2, Census Tract 14.02, New York County, New York","803","160"
"1500000US360610015010","Block Group 0, Census Tract 15.01, New York County, New York","-","**"
"1500000US360610015011","Block Group 1, Census Tract 15.01, New York County, New York","3045","200"
"1500000US360610015012","Block Group 2, Census Tract 15.01, New York County, New York","793","128"
"1500000US360610015013","Block Group 3, Census Tract 15.01, New York County, New York","529","447"
"1500000US360610015020","Block Group 0, Census Tract 15.02, New York County, New York","-","**"
"1500000US360610015021","Block Group 1, Census Tract 15.02, New York County, New York","2841","216"
"1500000US360610015022","Block Group 2, Census Tract 15.02, New York County, New York","3136","113"
"1500000US360610015023","Block Group 3, Census Tract 15.02, New York County, New York","-","**"
"1500000US360610016001","Block Group 1, Census Tract 16, New York County, New York","887","119"
"1500000US360610016002","Block Group 2, Census Tract 16, New York County, New York","null","null"
"1500000US360610016003","Block Group 3, Census Tract 16, New York County, New York","1075","227"
"1500000US360610016004","Block Group 4, Census Tract 16, New York County, New York","1875","860"
"1500000US360610016005","Block Group 5, Census Tract 16, New York County, New York","1596","879"
"1500000US360610018001","Block Group 1, Census Tract 18, New York County, New York","790","689"
"1500000US360610018002","Block Group 2, Census Tract 18, New York County, New York","1846","331"
"1500000US360610018003","Block Group 3, Census Tract 18, New York County, New York","1681","465"
"1500000US360610018004","Block Group 4, Census Tract 18, New York County, New York","610","179"
"1500000US360610018005","Block Group 5, Census Tract 18, New York County, New York","1345","504"
"1500000US360610018006","Block Group 6, Census Tract 18, New York County, New York","951","276"
"1500000US360610018007","Block Group 7, Census Tract 18, New York County, New York","1375","498"
"1500000US360610020000","Block Group 0, Census Tract 20, New York County, New York","-","**"
"1500000US360610020001","Block Group 1, Census Tract 20, New York County, New York","352","82"
"1500000US360610020002","Block Group 2, Census Tract 20, New York County, New York","427","24"
"1500000US360610020003","Block Group 3, Census Tract 20, New York County, New York","455","91"
"1500000US360610021001","Block Group 1, Census Tract 21, New York County, New York","3,500+","***"
"1500000US360610021002","Block Group 2, Census Tract 21, New York County, New York","3102","210"
"1500000US360610022011","Block Group 1, Census Tract 22.01, New York County, New York","696","312"
"1500000US360610022012","Block Group 2, Census Tract 22.01, New York County, New York","1652","325"
"1500000US360610022013","Block Group 3, Census Tract 22.01, New York County, New York","609","171"
"1500000US360610022014","Block Group 4, Census Tract 22.01, New York County, New York","1074","64"
"1500000US360610022021","Block Group 1, Census Tract 22.02, New York County, New York","2195","364"
"1500000US360610024000","Block Group 0, Census Tract 24, New York County, New York","-","**"
"1500000US360610024001","Block Group 1, Census Tract 24, New York County, New York","606","63"
"1500000US360610024002","Block Group 2, Census Tract 24, New York County, New York","609","194"
"1500000US360610025000","Block Group 0, Census Tract 25, New York County, New York","-","**"
"1500000US360610025001","Block Group 1, Census Tract 25, New York County, New York","392","85"
"1500000US360610025002","Block Group 2, Census Tract 25, New York County, New York","235","41"
"1500000US360610025003","Block Group 3, Census Tract 25, New York County, New York","511","142"
"1500000US360610026011","Block Group 1, Census Tract 26.01, New York County, New York","1083","227"
"1500000US360610026012","Block Group 2, Census Tract 26.01, New York County, New York","893","109"
"1500000US360610026021","Block Group 1, Census Tract 26.02, New York County, New York","1466","645"
