"GEO_ID","NAME","B25063_001E","B25063_001M","B25063_002E","B25063_002M","B25063_003E","B25063_003M","B25063_004E","B25063_004M","B25063_005E","B25063_005M","B25063_006E","B25063_006M","B25063_007E","B25063_007M","B25063_008E","B25063_008M","B25063_009E","B25063_009M","B25063_010E","B25063_010M","B25063_011E","B25063_011M","B25063_012E","B25063_012M","B25063_013E","B25063_013M","B25063_014E","B25063_014M","B25063_015E","B25063_015M","B25063_016E","B25063_016M","B25063_017E","B25063_017M","B25063_018E","B25063_018M","B25063_019E","B25063_019M","B25063_020E","B25063_020M","B25063_021E","B25063_021M","B25063_022E","B25063_022M","B25063_023E","B25063_023M","B25063_024E","B25063_024M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!With cash rent","Margin of Error!!Total!!With cash rent","Estimate!!Total!!With cash rent!!Less than $100","Margin of Error!!Total!!With cash rent!!Less than $100","Estimate!!Total!!With cash rent!!$100 to $149","Margin of Error!!Total!!With cash rent!!$100 to $149","Estimate!!Total!!With cash rent!!$150 to $199","Margin of Error!!Total!!With cash rent!!$150 to $199","Estimate!!Total!!With cash rent!!$200 to $249","Margin of Error!!Total!!With cash rent!!$200 to $249","Estimate!!Total!!With cash rent!!$250 to $299","Margin of Error!!Total!!With cash rent!!$250 to $299","Estimate!!Total!!With cash rent!!$300 to $349","Margin of Error!!Total!!With cash rent!!$300 to $349","Estimate!!Total!!With cash rent!!$350 to $399","Margin of Error!!Total!!With cash rent!!$350 to $399","Estimate!!Total!!With cash rent!!$400 to $449","Margin of Error!!Total!!With cash rent!!$400 to $449","Estimate!!Total!!With cash rent!!$450 to $499","Margin of Error!!Total!!With cash rent!!$450 to $499","Estimate!!Total!!With cash rent!!$500 to $549","Margin of Error!!Total!!With cash rent!!$500 to $549","Estimate!!Total!!With cash rent!!$550 to $599","Margin of Error!!Total!!With cash rent!!$550 to $599","Estimate!!Total!!With cash rent!!$600 to $649","Margin of Error!!Total!!With cash rent!!$600 to $649","Estimate!!Total!!With cash rent!!$650 to $699","Margin of Error!!Total!!With cash rent!!$650 to $699","Estimate!!Total!!With cash rent!!$700 to $749","Margin of Error!!Total!!With cash rent!!$700 to $749","Estimate!!Total!!With cash rent!!$750 to $799","Margin of Error!!Total!!With cash rent!!$750 to $799","Estimate!!Total!!With cash rent!!$800 to $899","Margin of Error!!Total!!With cash rent!!$800 to $899","Estimate!!Total!!With cash rent!!$900 to $999","Margin of Error!!Total!!With cash rent!!$900 to $999","Estimate!!Total!!With cash rent!!$1,000 to $1,249","Margin of Error!!Total!!With cash rent!!$1,000 to $1,249","Estimate!!Total!!With cash rent!!$1,250 to $1,499","Margin of Error!!Total!!With cash rent!!$1,250 to $1,499","Estimate!!Total!!With cash rent!!$1,500 to $1,999","Margin of Error!!Total!!With cash rent!!$1,500 to $1,999","Estimate!!Total!!With cash rent!!$2,000 or more","Margin of Error!!Total!!With cash rent!!$2,000 or more","Estimate!!Total!!No cash rent","Margin of Error!!Total!!No cash rent"
"1500000US360810245002","Block Group 2, Census Tract 245, Queens County, New York","419","123","419","123","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","29","32","0","11","0","11","16","26","15","23","11","17","0","11","65","46","16","25","10","22","42","39","133","92","82","87","0","11"
"1500000US360810245003","Block Group 3, Census Tract 245, Queens County, New York","300","120","300","120","0","11","0","11","0","11","19","29","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","54","49","115","85","16","26","13","21","66","81","17","27","0","11"
"1500000US360810245004","Block Group 4, Census Tract 245, Queens County, New York","240","139","240","139","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","17","28","63","78","143","129","17","28","0","11"
"1500000US360810246001","Block Group 1, Census Tract 246, Queens County, New York","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11"
"1500000US360810247001","Block Group 1, Census Tract 247, Queens County, New York","354","55","354","55","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","5","8","0","11","0","11","20","21","0","11","0","11","10","15","12","10","43","30","143","50","47","26","74","46","0","11"
"1500000US360810249001","Block Group 1, Census Tract 249, Queens County, New York","881","146","881","146","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","14","23","16","32","28","31","14","22","53","73","50","40","227","121","339","140","140","101","0","11"
"1500000US360810249002","Block Group 2, Census Tract 249, Queens County, New York","441","124","397","116","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","34","56","0","11","0","11","0","11","0","11","29","44","0","11","70","88","0","11","45","38","127","74","59","42","33","31","44","69"
"1500000US360810249003","Block Group 3, Census Tract 249, Queens County, New York","401","124","401","124","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","42","37","210","99","137","100","12","19","0","11"
"1500000US360810251001","Block Group 1, Census Tract 251, Queens County, New York","223","105","223","105","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","14","22","12","21","0","11","19","30","0","11","28","33","63","51","42","66","45","71","0","11"
"1500000US360810251002","Block Group 2, Census Tract 251, Queens County, New York","430","142","382","130","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","14","23","178","131","113","87","77","88","0","11","48","76"
"1500000US360810251003","Block Group 3, Census Tract 251, Queens County, New York","436","168","436","168","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","17","27","0","11","0","11","0","11","15","25","41","65","63","52","112","98","157","134","31","37","0","11"
"1500000US360810251004","Block Group 4, Census Tract 251, Queens County, New York","285","114","285","114","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","17","25","111","104","43","34","114","100","0","11","0","11"
"1500000US360810253011","Block Group 1, Census Tract 253.01, Queens County, New York","300","75","289","77","0","11","0","11","0","11","0","11","0","11","0","11","8","12","0","11","18","28","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","62","47","67","59","126","64","8","13","11","18"
"1500000US360810253012","Block Group 2, Census Tract 253.01, Queens County, New York","389","97","381","97","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","18","28","0","11","0","11","0","11","0","11","0","11","0","11","29","31","100","70","127","64","73","48","34","43","8","13"
"1500000US360810253013","Block Group 3, Census Tract 253.01, Queens County, New York","541","131","541","131","0","11","0","11","0","11","0","11","0","11","17","18","8","13","0","11","0","11","15","23","0","11","22","25","8","12","47","53","0","11","0","11","41","31","77","49","87","53","163","91","56","75","0","11"
"1500000US360810253014","Block Group 4, Census Tract 253.01, Queens County, New York","445","117","445","117","0","11","0","11","0","11","0","11","0","11","0","11","9","15","0","11","0","11","0","11","0","11","0","11","0","11","6","11","42","57","0","11","0","11","58","53","119","63","162","99","49","42","0","11"
"1500000US360810253021","Block Group 1, Census Tract 253.02, Queens County, New York","631","88","631","88","0","11","0","11","0","11","0","11","11","16","0","11","0","11","0","11","0","11","10","16","0","11","0","11","0","11","0","11","8","14","17","19","68","46","61","44","270","97","163","81","23","37","0","11"
"1500000US360810253022","Block Group 2, Census Tract 253.02, Queens County, New York","353","107","321","108","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","19","30","12","20","76","59","40","34","111","80","63","56","32","39"
"1500000US360810254001","Block Group 1, Census Tract 254, Queens County, New York","515","131","500","128","0","11","0","11","16","20","78","62","54","47","72","70","23","26","56","59","0","11","0","11","13","21","0","11","0","11","4","6","25","29","13","12","39","31","37","50","0","11","36","41","34","34","15","23"
"1500000US360810254002","Block Group 2, Census Tract 254, Queens County, New York","145","103","145","103","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","15","23","38","61","0","11","54","68","0","11","38","62","0","11"
"1500000US360810254003","Block Group 3, Census Tract 254, Queens County, New York","934","168","934","168","0","11","0","11","36","52","42","36","14","23","430","81","0","11","0","11","67","75","0","11","26","31","36","58","14","20","91","84","0","11","65","65","42","51","0","11","0","11","71","78","0","11","0","11"
"1500000US360810254004","Block Group 4, Census Tract 254, Queens County, New York","251","95","251","95","0","11","0","11","0","11","105","76","12","20","0","11","0","11","0","11","0","11","0","11","54","50","17","29","0","11","0","11","0","11","13","22","13","21","37","58","0","11","0","11","0","11","0","11"
"1500000US360810254005","Block Group 5, Census Tract 254, Queens County, New York","445","144","445","144","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","31","49","0","11","0","11","0","11","0","11","0","11","30","48","196","122","30","51","87","84","71","81","0","11"
