"GEO_ID","NAME","B25063_001E","B25063_001M","B25063_002E","B25063_002M","B25063_003E","B25063_003M","B25063_004E","B25063_004M","B25063_005E","B25063_005M","B25063_006E","B25063_006M","B25063_007E","B25063_007M","B25063_008E","B25063_008M","B25063_009E","B25063_009M","B25063_010E","B25063_010M","B25063_011E","B25063_011M","B25063_012E","B25063_012M","B25063_013E","B25063_013M","B25063_014E","B25063_014M","B25063_015E","B25063_015M","B25063_016E","B25063_016M","B25063_017E","B25063_017M","B25063_018E","B25063_018M","B25063_019E","B25063_019M","B25063_020E","B25063_020M","B25063_021E","B25063_021M","B25063_022E","B25063_022M","B25063_023E","B25063_023M","B25063_024E","B25063_024M","B25063_025E","B25063_025M","B25063_026E","B25063_026M","B25063_027E","B25063_027M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!With cash rent","Margin of Error!!Total!!With cash rent","Estimate!!Total!!With cash rent!!Less than $100","Margin of Error!!Total!!With cash rent!!Less than $100","Estimate!!Total!!With cash rent!!$100 to $149","Margin of Error!!Total!!With cash rent!!$100 to $149","Estimate!!Total!!With cash rent!!$150 to $199","Margin of Error!!Total!!With cash rent!!$150 to $199","Estimate!!Total!!With cash rent!!$200 to $249","Margin of Error!!Total!!With cash rent!!$200 to $249","Estimate!!Total!!With cash rent!!$250 to $299","Margin of Error!!Total!!With cash rent!!$250 to $299","Estimate!!Total!!With cash rent!!$300 to $349","Margin of Error!!Total!!With cash rent!!$300 to $349","Estimate!!Total!!With cash rent!!$350 to $399","Margin of Error!!Total!!With cash rent!!$350 to $399","Estimate!!Total!!With cash rent!!$400 to $449","Margin of Error!!Total!!With cash rent!!$400 to $449","Estimate!!Total!!With cash rent!!$450 to $499","Margin of Error!!Total!!With cash rent!!$450 to $499","Estimate!!Total!!With cash rent!!$500 to $549","Margin of Error!!Total!!With cash rent!!$500 to $549","Estimate!!Total!!With cash rent!!$550 to $599","Margin of Error!!Total!!With cash rent!!$550 to $599","Estimate!!Total!!With cash rent!!$600 to $649","Margin of Error!!Total!!With cash rent!!$600 to $649","Estimate!!Total!!With cash rent!!$650 to $699","Margin of Error!!Total!!With cash rent!!$650 to $699","Estimate!!Total!!With cash rent!!$700 to $749","Margin of Error!!Total!!With cash rent!!$700 to $749","Estimate!!Total!!With cash rent!!$750 to $799","Margin of Error!!Total!!With cash rent!!$750 to $799","Estimate!!Total!!With cash rent!!$800 to $899","Margin of Error!!Total!!With cash rent!!$800 to $899","Estimate!!Total!!With cash rent!!$900 to $999","Margin of Error!!Total!!With cash rent!!$900 to $999","Estimate!!Total!!With cash rent!!$1,000 to $1,249","Margin of Error!!Total!!With cash rent!!$1,000 to $1,249","Estimate!!Total!!With cash rent!!$1,250 to $1,499","Margin of Error!!Total!!With cash rent!!$1,250 to $1,499","Estimate!!Total!!With cash rent!!$1,500 to $1,999","Margin of Error!!Total!!With cash rent!!$1,500 to $1,999","Estimate!!Total!!With cash rent!!$2,000 to $2,499","Margin of Error!!Total!!With cash rent!!$2,000 to $2,499","Estimate!!Total!!With cash rent!!$2,500 to $2,999","Margin of Error!!Total!!With cash rent!!$2,500 to $2,999","Estimate!!Total!!With cash rent!!$3,000 to $3,499","Margin of Error!!Total!!With cash rent!!$3,000 to $3,499","Estimate!!Total!!With cash rent!!$3,500 or more","Margin of Error!!Total!!With cash rent!!$3,500 or more","Estimate!!Total!!No cash rent","Margin of Error!!Total!!No cash rent"
"1500000US360810629002","Block Group 2, Census Tract 629, Queens County, New York","280","64","255","66","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","17","19","0","11","0","11","102","58","67","45","35","31","34","39","0","11","0","11","0","11","25","40"
"1500000US360810629003","Block Group 3, Census Tract 629, Queens County, New York","237","68","209","72","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","18","19","62","49","90","55","39","30","0","11","0","11","0","11","0","11","28","30"
"1500000US360810630001","Block Group 1, Census Tract 630, Queens County, New York","19","20","14","14","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","7","9","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","7","10","0","11","0","11","0","11","5","12"
"1500000US360810630002","Block Group 2, Census Tract 630, Queens County, New York","32","26","21","22","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","21","22","0","11","0","11","0","11","11","12"
"1500000US360810632001","Block Group 1, Census Tract 632, Queens County, New York","5","11","5","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","5","11","0","11","0","11","0","11"
"1500000US360810632002","Block Group 2, Census Tract 632, Queens County, New York","80","43","80","43","0","11","0","11","0","11","0","11","16","24","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","12","18","0","11","0","11","0","11","12","19","24","22","16","20","0","11","0","11","0","11","0","11","0","11"
"1500000US360810633011","Block Group 1, Census Tract 633.01, Queens County, New York","235","64","224","64","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","6","8","0","11","0","11","17","15","52","37","107","61","27","30","6","9","9","7","0","11","0","11","11","12"
"1500000US360810633021","Block Group 1, Census Tract 633.02, Queens County, New York","41","25","27","19","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","5","8","4","8","18","14","0","11","0","11","0","11","0","11","14","15"
"1500000US360810633022","Block Group 2, Census Tract 633.02, Queens County, New York","137","55","132","55","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","57","43","5","7","70","43","0","11","0","11","0","11","0","11","5","7"
"1500000US360810635001","Block Group 1, Census Tract 635, Queens County, New York","88","43","82","41","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","8","12","0","11","34","35","33","21","7","10","0","11","0","11","0","11","6","9"
"1500000US360810635002","Block Group 2, Census Tract 635, Queens County, New York","270","64","239","64","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","12","12","0","11","75","45","88","45","58","43","6","10","0","11","0","11","0","11","31","24"
"1500000US360810637001","Block Group 1, Census Tract 637, Queens County, New York","158","65","150","63","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","35","48","0","11","0","11","88","62","27","31","0","11","0","11","0","11","8","13"
"1500000US360810637002","Block Group 2, Census Tract 637, Queens County, New York","109","69","109","69","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","10","15","21","32","11","19","9","14","58","58","0","11","0","11","0","11","0","11"
"1500000US360810637003","Block Group 3, Census Tract 637, Queens County, New York","93","53","85","54","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","9","14","0","11","42","34","34","44","0","11","0","11","0","11","0","11","8","13"
"1500000US360810638001","Block Group 1, Census Tract 638, Queens County, New York","56","52","56","52","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","8","13","0","11","27","43","0","11","21","27","0","11","0","11","0","11","0","11"
"1500000US360810638002","Block Group 2, Census Tract 638, Queens County, New York","39","41","28","37","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","5","8","23","36","0","11","0","11","0","11","0","11","11","17"
"1500000US360810638003","Block Group 3, Census Tract 638, Queens County, New York","16","25","16","25","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","16","25","0","11","0","11","0","11","0","11","0","11"
"1500000US360810638004","Block Group 4, Census Tract 638, Queens County, New York","40","45","40","45","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","23","37","17","27","0","11","0","11","0","11","0","11","0","11"
"1500000US360810638005","Block Group 5, Census Tract 638, Queens County, New York","35","42","35","42","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","25","40","10","15","0","11","0","11","0","11","0","11","0","11","0","11"
