"GEO_ID","NAME","B25063_001E","B25063_001M","B25063_002E","B25063_002M","B25063_003E","B25063_003M","B25063_004E","B25063_004M","B25063_005E","B25063_005M","B25063_006E","B25063_006M","B25063_007E","B25063_007M","B25063_008E","B25063_008M","B25063_009E","B25063_009M","B25063_010E","B25063_010M","B25063_011E","B25063_011M","B25063_012E","B25063_012M","B25063_013E","B25063_013M","B25063_014E","B25063_014M","B25063_015E","B25063_015M","B25063_016E","B25063_016M","B25063_017E","B25063_017M","B25063_018E","B25063_018M","B25063_019E","B25063_019M","B25063_020E","B25063_020M","B25063_021E","B25063_021M","B25063_022E","B25063_022M","B25063_023E","B25063_023M","B25063_024E","B25063_024M","B25063_025E","B25063_025M","B25063_026E","B25063_026M","B25063_027E","B25063_027M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!With cash rent","Margin of Error!!Total!!With cash rent","Estimate!!Total!!With cash rent!!Less than $100","Margin of Error!!Total!!With cash rent!!Less than $100","Estimate!!Total!!With cash rent!!$100 to $149","Margin of Error!!Total!!With cash rent!!$100 to $149","Estimate!!Total!!With cash rent!!$150 to $199","Margin of Error!!Total!!With cash rent!!$150 to $199","Estimate!!Total!!With cash rent!!$200 to $249","Margin of Error!!Total!!With cash rent!!$200 to $249","Estimate!!Total!!With cash rent!!$250 to $299","Margin of Error!!Total!!With cash rent!!$250 to $299","Estimate!!Total!!With cash rent!!$300 to $349","Margin of Error!!Total!!With cash rent!!$300 to $349","Estimate!!Total!!With cash rent!!$350 to $399","Margin of Error!!Total!!With cash rent!!$350 to $399","Estimate!!Total!!With cash rent!!$400 to $449","Margin of Error!!Total!!With cash rent!!$400 to $449","Estimate!!Total!!With cash rent!!$450 to $499","Margin of Error!!Total!!With cash rent!!$450 to $499","Estimate!!Total!!With cash rent!!$500 to $549","Margin of Error!!Total!!With cash rent!!$500 to $549","Estimate!!Total!!With cash rent!!$550 to $599","Margin of Error!!Total!!With cash rent!!$550 to $599","Estimate!!Total!!With cash rent!!$600 to $649","Margin of Error!!Total!!With cash rent!!$600 to $649","Estimate!!Total!!With cash rent!!$650 to $699","Margin of Error!!Total!!With cash rent!!$650 to $699","Estimate!!Total!!With cash rent!!$700 to $749","Margin of Error!!Total!!With cash rent!!$700 to $749","Estimate!!Total!!With cash rent!!$750 to $799","Margin of Error!!Total!!With cash rent!!$750 to $799","Estimate!!Total!!With cash rent!!$800 to $899","Margin of Error!!Total!!With cash rent!!$800 to $899","Estimate!!Total!!With cash rent!!$900 to $999","Margin of Error!!Total!!With cash rent!!$900 to $999","Estimate!!Total!!With cash rent!!$1,000 to $1,249","Margin of Error!!Total!!With cash rent!!$1,000 to $1,249","Estimate!!Total!!With cash rent!!$1,250 to $1,499","Margin of Error!!Total!!With cash rent!!$1,250 to $1,499","Estimate!!Total!!With cash rent!!$1,500 to $1,999","Margin of Error!!Total!!With cash rent!!$1,500 to $1,999","Estimate!!Total!!With cash rent!!$2,000 to $2,499","Margin of Error!!Total!!With cash rent!!$2,000 to $2,499","Estimate!!Total!!With cash rent!!$2,500 to $2,999","Margin of Error!!Total!!With cash rent!!$2,500 to $2,999","Estimate!!Total!!With cash rent!!$3,000 to $3,499","Margin of Error!!Total!!With cash rent!!$3,000 to $3,499","Estimate!!Total!!With cash rent!!$3,500 or more","Margin of Error!!Total!!With cash rent!!$3,500 or more","Estimate!!Total!!No cash rent","Margin of Error!!Total!!No cash rent"
"1500000US360810809003","Block Group 3, Census Tract 809, Queens County, New York","21","34","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","21","34"
"1500000US360810809004","Block Group 4, Census Tract 809, Queens County, New York","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11"
"1500000US360810809005","Block Group 5, Census Tract 809, Queens County, New York","112","113","96","110","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","51","83","45","74","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","16","26"
"1500000US360810809006","Block Group 6, Census Tract 809, Queens County, New York","205","122","205","122","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","48","78","0","11","0","11","11","18","55","88","79","88","0","11","12","19","0","11","0","11","0","11","0","11","0","11"
"1500000US360810809007","Block Group 7, Census Tract 809, Queens County, New York","51","57","14","23","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","14","23","0","11","0","11","0","11","0","11","0","11","0","11","37","55"
"1500000US360810814001","Block Group 1, Census Tract 814, Queens County, New York","143","69","134","68","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","11","18","0","11","0","11","0","11","0","11","0","11","9","14","43","54","71","65","0","11","0","11","0","11","0","11","9","14"
"1500000US360810814002","Block Group 2, Census Tract 814, Queens County, New York","88","66","88","66","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","25","28","63","61","0","11","0","11","0","11","0","11","0","11"
"1500000US360810814003","Block Group 3, Census Tract 814, Queens County, New York","29","47","29","47","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","29","47","0","11","0","11","0","11","0","11","0","11","0","11"
"1500000US360810818001","Block Group 1, Census Tract 818, Queens County, New York","130","60","122","62","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","18","30","19","30","25","32","53","49","7","11","0","11","0","11","0","11","8","12"
"1500000US360810818002","Block Group 2, Census Tract 818, Queens County, New York","64","45","48","42","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","8","12","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","32","37","0","11","2","7","0","11","0","11","6","17","16","17"
"1500000US360810818003","Block Group 3, Census Tract 818, Queens County, New York","103","61","103","61","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","42","47","0","11","0","11","0","11","0","11","0","11","0","11","0","11","8","12","10","15","43","51","0","11","0","11","0","11","0","11","0","11"
"1500000US360810837001","Block Group 1, Census Tract 837, Queens County, New York","99","58","99","58","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","8","12","24","39","0","11","0","11","0","11","40","41","0","11","19","21","8","12","0","11","0","11","0","11","0","11"
"1500000US360810837002","Block Group 2, Census Tract 837, Queens County, New York","158","73","150","73","0","11","0","11","0","11","6","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","80","56","27","33","31","39","6","10","0","11","0","11","0","11","8","12"
"1500000US360810837003","Block Group 3, Census Tract 837, Queens County, New York","140","79","86","64","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","23","37","0","11","0","11","54","52","9","13","0","11","0","11","0","11","54","52"
"1500000US360810837004","Block Group 4, Census Tract 837, Queens County, New York","145","74","137","72","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","8","12","0","11","0","11","0","11","0","11","0","11","0","11","30","38","80","60","9","14","10","17","0","11","0","11","0","11","8","13"
"1500000US360810838001","Block Group 1, Census Tract 838, Queens County, New York","130","71","107","67","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","47","43","35","45","25","28","0","11","0","11","0","11","23","37"
"1500000US360810838002","Block Group 2, Census Tract 838, Queens County, New York","280","93","280","93","0","11","0","11","0","11","0","11","0","11","0","11","0","11","28","44","0","11","0","11","0","11","0","11","0","11","0","11","0","11","35","44","0","11","78","68","0","11","139","70","0","11","0","11","0","11","0","11","0","11"
"1500000US360810838003","Block Group 3, Census Tract 838, Queens County, New York","78","47","69","45","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","10","17","0","11","0","11","10","16","21","16","8","12","0","11","0","11","20","31","9","14"
"1500000US360810838004","Block Group 4, Census Tract 838, Queens County, New York","111","72","79","52","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","11","17","11","16","0","11","0","11","11","17","12","18","34","39","0","11","0","11","0","11","0","11","32","51"
"1500000US360810840001","Block Group 1, Census Tract 840, Queens County, New York","194","126","194","126","0","11","0","11","0","11","0","11","0","11","48","58","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","11","17","0","11","29","44","0","11","106","85","0","11","0","11","0","11","0","11","0","11"
"1500000US360810840002","Block Group 2, Census Tract 840, Queens County, New York","157","91","128","88","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","40","57","0","11","0","11","15","25","0","11","0","11","10","22","39","49","24","39","0","11","0","11","0","11","0","11","29","33"
"1500000US360810840003","Block Group 3, Census Tract 840, Queens County, New York","53","44","44","41","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","24","39","0","11","0","11","0","11","0","11","0","11","0","11","0","11","10","15","0","11","10","15","0","11","0","11","0","11","0","11","9","16"
